nombre,tipo,peso
bulbasaur,grass,6.9
ivysaur,grass,13.0
venusaur,grass,100.0
charmander,fire,8.5
charmeleon,fire,19.0
charizard,fire,90.5
squirtle,water,9.0
wartortle,water,22.5
blastoise,water,85.5
caterpie,bug,2.9
metapod,bug,9.9
butterfree,bug,32.0
weedle,bug,3.2
kakuna,bug,10.0
beedrill,bug,29.5
pidgey,normal,1.8
pidgeotto,normal,30.0
pidgeot,normal,39.5
rattata,normal,3.5
raticate,normal,18.5
spearow,normal,2.0
fearow,normal,38.0
ekans,poison,6.9
arbok,poison,65.0
pikachu,electric,6.0
raichu,electric,30.0
sandshrew,ground,12.0
sandslash,ground,29.5
nidoran-f,poison,7.0
nidorina,poison,20.0
nidoqueen,poison,60.0
nidoran-m,poison,9.0
nidorino,poison,19.5
nidoking,poison,62.0
clefairy,fairy,7.5
clefable,fairy,40.0
vulpix,fire,9.9
ninetales,fire,19.9
jigglypuff,normal,5.5
wigglytuff,normal,12.0
zubat,poison,7.5
golbat,poison,55.0
oddish,grass,5.4
gloom,grass,8.6
vileplume,grass,18.6
paras,bug,5.4
parasect,bug,29.5
venonat,bug,30.0
venomoth,bug,12.5
diglett,ground,0.8
dugtrio,ground,33.3
meowth,normal,4.2
persian,normal,32.0
psyduck,water,19.6
golduck,water,76.6
mankey,fighting,28.0
primeape,fighting,32.0
growlithe,fire,19.0
arcanine,fire,155.0
poliwag,water,12.4
poliwhirl,water,20.0
poliwrath,water,54.0
abra,psychic,19.5
kadabra,psychic,56.5
alakazam,psychic,48.0
machop,fighting,19.5
machoke,fighting,70.5
machamp,fighting,130.0
bellsprout,grass,4.0
weepinbell,grass,6.4
victreebel,grass,15.5
tentacool,water,45.5
tentacruel,water,55.0
geodude,rock,20.0
graveler,rock,105.0
golem,rock,300.0
ponyta,fire,30.0
rapidash,fire,95.0
slowpoke,water,36.0
slowbro,water,78.5
magnemite,electric,6.0
magneton,electric,60.0
farfetchd,normal,15.0
doduo,normal,39.2
dodrio,normal,85.2
seel,water,90.0
dewgong,water,120.0
grimer,poison,30.0
muk,poison,30.0
shellder,water,4.0
cloyster,water,132.5
gastly,ghost,0.1
haunter,ghost,0.1
gengar,ghost,40.5
onix,rock,210.0
drowzee,psychic,32.4
hypno,psychic,75.6
krabby,water,6.5
kingler,water,60.0
voltorb,electric,10.4
